date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:04	105776/105776	---MCZ	200	added ('OK')	text/html	etag:W/%226336dc58-19d30%22	http://layerdrops.com/agrionhtml/main-html/index2.html	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/index2.html	(from )
15:09:04	50/50	---MCZ	200	added ('OK')	text/plain	date:Mon,%2014%20Nov%202022%2009:39:05%20GMT	http://layerdrops.com/robots.txt		(from )
15:09:05	2213/2213	---M--	200	added ('OK')	image/png	etag:%226336dc58-8a5%22	http://layerdrops.com/agrionhtml/main-html/assets/images/favicons/favicon-32x32.png	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/images/favicons/favicon-32x32.png	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:05	797/797	---M--	200	added ('OK')	image/png	etag:%226336dc58-31d%22	http://layerdrops.com/agrionhtml/main-html/assets/images/favicons/favicon-16x16.png	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/images/favicons/favicon-16x16.png	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:05	263/263	---M--	200	added ('OK')	application/manifest+json	date:Fri,%2030%20Sep%202022%2012:08:56%20GMT	http://layerdrops.com/agrionhtml/main-html/assets/images/favicons/site.webmanifest	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/images/favicons/site.webmanifest	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:06	154881/154881	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-25d01%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/bootstrap/css/bootstrap.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:06	87493/87493	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-155c5%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/animate/animate.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/animate/animate.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:07	29125/29125	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-71c5%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/animate/custom-animate.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/animate/custom-animate.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:07	59348/59348	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-e7d4%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/fontawesome/css/all.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/fontawesome/css/all.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:07	30765/30765	---M--	200	added ('OK')	image/png	etag:%226336dc58-782d%22	http://layerdrops.com/agrionhtml/main-html/assets/images/favicons/apple-touch-icon.png	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/images/favicons/apple-touch-icon.png	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:07	335/335	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-14f%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/jarallax/jarallax.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/jarallax/jarallax.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:08	7302/7302	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-1c86%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:08	4040/4040	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-fc8%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/nouislider/nouislider.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/nouislider/nouislider.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:08	1421/1421	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-58d%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/nouislider/nouislider.pips.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/nouislider/nouislider.pips.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:08	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-c2c%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/odometer/odometer.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/odometer/odometer.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:08	13689/13689	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-3579%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/swiper/swiper.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/swiper/swiper.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:09	3005/3005	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-bbd%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/agrion-icons/style.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/agrion-icons/style.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:09	2058/2058	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-80a%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/tiny-slider/tiny-slider.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/tiny-slider/tiny-slider.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:09	313/313	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-139%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/reey-font/stylesheet.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/reey-font/stylesheet.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:09	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-d1c%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/owl-carousel/owl.carousel.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/owl-carousel/owl.carousel.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:10	1018/1018	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-3fa%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/owl-carousel/owl.theme.default.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/owl-carousel/owl.theme.default.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:10	4088/4088	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-ff8%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/bxslider/jquery.bxslider.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/bxslider/jquery.bxslider.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:10	11832/11832	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-2e38%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/bootstrap-select/css/bootstrap-select.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/bootstrap-select/css/bootstrap-select.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:10	9461/9461	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-24f5%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/vegas/vegas.min.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/vegas/vegas.min.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:10	34763/34763	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-87cb%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/jquery-ui/jquery-ui.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/jquery-ui/jquery-ui.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:11	4071/4071	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-fe7%22	http://layerdrops.com/agrionhtml/main-html/assets/vendors/timepicker/timePicker.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/vendors/timepicker/timePicker.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:12	249573/249573	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-3cee5%22	http://layerdrops.com/agrionhtml/main-html/assets/css/agrion.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/css/agrion.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:12	28386/28386	---MCZ	200	added ('OK')	text/css	etag:W/%226336dc58-6ee2%22	http://layerdrops.com/agrionhtml/main-html/assets/css/agrion-responsive.css	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/assets/css/agrion-responsive.css	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
15:09:13	104348/104348	---MCZ	200	added ('OK')	text/html	etag:W/%226336dc58-1979c%22	http://layerdrops.com/agrionhtml/main-html/index.html	D:/Projects/Koshish/layerdrops.com/agrionhtml/main-html/index.html	(from http://layerdrops.com/agrionhtml/main-html/index2.html)
